admin_division_name,gazeteer_closest_point,location_description,latitude,longitude,rain_report (trigger),inclination,soil_moisture,temperature
Assam,Hāflong,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam",25.1553,93.028,downpour,34.13,0.922,21.5
Mizoram,Saiha,Lawngtlai,22.533,92.899,downpour,40.74,0.709,28.8
Assam,Hāflong," between Harangajao and Mailongdisa, Assa,",25.1175,92.8573,downpour,37.96,0.671,31.3
Sikkim,Rangpo,"NH31A, Mile 27 near Rambi",27.1761,88.5287,downpour,33.74,0.68,22.2
Mizoram,Aizawl,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",23.591,92.9296,downpour,43.36,0.655,20.8
Sikkim,Gangtok,"Pangthang, on road b/t Gangtok and North Sikkim",27.3383,88.6069,rain,29.18,0.678,28.9
Assam,Mahur,"Tamenglong, Manipur",24.9829,93.5063,continuous_rain,33.76,0.855,26.9
Assam,Maibong,"Portions of NH 39, Connectin Manipur with Assam via Nagaland",25.5125,93.3613,downpour,35.99,0.671,30.1
Manipur,Phek,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25.31006064,94.48265093,downpour,38.68,0.746,21.7
Assam,Mahur,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",24.9925,93.5,downpour,48.56,0.903,29.5
Arunachal Pradesh,Motuo,Arunachal Pradesh,28.9205,95.3429,continuous_rain,30.99,0.657,22.4
Arunachal Pradesh,Ziro,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",27.6438,93.871,downpour,40.43,0.894,22.0
Manipur,Imphal,"Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur",24.8286,93.5935,downpour,42.77,0.735,22.0
Assam,North Lakhimpur,"Lakhimpur district, Bihpuria, Assam",27.2298,94.0989,downpour,26.39,0.685,29.8
Meghalaya,Nongpoh,"Umling, Meghalaya 793102, India",25.9703,91.8584,unknown,43.23,0.859,28.0
Meghalaya,Tura,Tura Civil Hospital,25.5145,90.2023,continuous_rain,30.12,0.839,26.3
Meghalaya,Cherrapunji,Singtam,25.38,91.88,rain,26.95,0.913,24.3
Assam,Guwahati,"Maighuli, Guwahati, Meghalaya",26.1548,91.7351,downpour,53.47,0.871,30.5
Mizoram,Saiha,Saiha,22.479,92.967,downpour,53.97,0.891,24.7
Arunachal Pradesh,Tezu,Arunachal Pradesh ,27.8965,96.1779,downpour,49.25,0.735,29.8
Nagaland,Kohima,"Ruzapfu valley, Kikruma Village, Phek District, Nagaland",25.6682,94.1099,downpour,34.14,0.703,25.3
Manipur,Churāchāndpur,"Holenjang, Chandel district",24.004,93.9815,continuous_rain,27.93,0.875,24.5
Assam,Maibong,"road between Haflong and Lanka, Assam",25.5242,92.9914,downpour,45.53,0.892,25.6
Manipur,Mayāng Imphāl,Manipur,24.6869,93.9157,downpour,38.2,0.947,23.6
Arunachal Pradesh,Tezu,Lohit District of Arunachal Pradesh,27.9032,96.174,rain,28.66,0.774,29.0
Nagaland,Kohima,Maram (80 km north of Imphal),25.4191,94.1079,rain,39.86,0.762,26.0
Nagaland,Mon,"road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland",26.8716,94.9921,downpour,26.03,0.883,22.8
Meghalaya,Dispur,"12th Mile area at Jorabat, Meghalaya, India",26.09748244,91.8744337,unknown,52.28,0.752,30.8
Arunachal Pradesh,Bomdila,"West Kameng, Arunachal Pradesh",27.4,92.35,downpour,32.76,0.929,24.6
Sikkim,Gangtok,"17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim",27.3702,88.7334,downpour,44.88,0.908,26.5
Manipur,Wāngjing,Manipur,24.3527,94.3429,downpour,34.35,0.779,30.9
Nagaland,Tuensang,"Helipong-Chessore Road, Nagaland",26.0977,94.7499,unknown,40.6,0.875,27.5
Arunachal Pradesh,Tezu,"road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh",28.0791,96.5242,downpour,41.4,0.876,21.4
Sikkim,Gangtok,"Natl. Highway 31-A at Pani House(?), Gangtok",27.3341,88.6083,downpour,30.55,0.681,31.3
Nagaland,Zunheboto,"New Land (""""New Colony"""")",26.0319,94.5466,continuous_rain,54.09,0.921,27.5
Arunachal Pradesh,Naharlagun,Karsingsa block point,27.1249,93.7706,unknown,48.25,0.802,24.0
Nagaland,Wokha,"on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India",26.1677,94.2442,continuous_rain,53.18,0.898,21.7
Arunachal Pradesh,Margherita,"Tirap , Arunachal Pradesh",27.174,95.8011,downpour,51.84,0.746,29.5
Arunachal Pradesh,Tezu,"Endulin Nallah, Mayodia, 17-camp, 83-camp",28.4659,95.86,downpour,42.94,0.919,27.4
Assam,Lakhipur,"NH-53 at Nungba police station, Kambirong(?), Manipur",24.7505,93.4221,downpour,52.66,0.767,26.4
Manipur,Kohima,"15 kms from Maram, National Highway-102/A (Maram Peren road)",25.4477,94.0489,continuous_rain,27.65,0.653,30.7
Nagaland,Mokokchūng,"Nanga, Nagaland",26.284,94.5808,continuous_rain,30.88,0.922,29.5
Assam,Guwahati,"Lalunggaon, Guwahati,  Assam",26.149,91.7351,downpour,26.36,0.677,21.8
Assam,Mahur,"Kaiphundai(?)-Tousem(in Assam) road, Tamenglong district, Manipur",25.0672,93.4093,downpour,34.76,0.746,23.7
Manipur,Kakching,between Chalong and Paraolon,24.1988,94.1016,continuous_rain,36.66,0.935,23.0
Arunachal Pradesh,Bāsār,Upper Subansiri,27.8776,94.25,downpour,33.14,0.935,28.9
Assam,Guwahati,"Guwahati, Assam",26.1475,91.7356,downpour,49.86,0.822,20.4
Manipur,Imphal,"Tamenglong- Khongsang Road, Manipur",24.9037,93.487,continuous_rain,35.7,0.84,26.8
Manipur,Kohima,22 kms to 30 kms between Sangkungmai and Willong,25.4538,93.9827,continuous_rain,33.43,0.785,29.1
Nagaland,Wokha,"Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road",26.1147,94.3864,downpour,41.28,0.738,30.5
Sikkim,Gangtok,Rhodong village near Rhey in East Sikkim,27.3425,88.6236,rain,29.23,0.749,24.1
Assam,Lāla,"Bilaipur, Hailakandi district, Assam, India",24.5202,92.7239,continuous_rain,49.07,0.852,29.9
Manipur,Mahur,Tamenglong Ward No-IV,24.9818,93.5142,monsoon,27.24,0.876,21.3
Assam,Guwahati,Noonmati,26.1985,91.7998,rain,54.61,0.887,30.2
Nagaland,Kohima,"National Highway 29 Near Phesama Village, Nagaland",25.6269,94.1139,downpour,48.17,0.887,21.5
Manipur,Kakching,"NH-39 at Imphal-Moreh section, Lokchao largest event",24.4279,94.0564,rain,30.96,0.677,24.8
Assam,Sonāri,"Longlem, Nagaland",26.8727,94.9275,rain,25.17,0.798,29.6
Arunachal Pradesh,Naharlagun,"districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province",27.0011,93.7273,downpour,49.46,0.667,21.8
Mizoram,Aizawl,"Zembabawk, Aizawl",23.7327,92.7463,downpour,46.21,0.815,22.8
Sikkim,Gangtok,"15 Km From Gangtok, Himalayans",27.3721,88.708,downpour,46.87,0.782,28.7
Meghalaya,Netrakona,"Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India",25.203,90.5573,continuous_rain,48.14,0.916,28.6
Nagaland,Tuensang,"Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland",26.1984,94.8158,downpour,27.22,0.755,27.7
Assam,Lāla,"Sonachirra, Karimganj district, Assam, India",24.4638,92.4943,continuous_rain,35.75,0.685,28.3
Mizoram,Serchhīp,"road to Muanna Godown, Zuangtui, Mizoram",23.75406693,92.74128531,downpour,28.48,0.693,26.5
Nagaland,Tuensang,"Kiphire-Tuensang rd, Nagaland",26.0814,94.803,downpour,50.89,0.878,23.0
Nagaland,Kohima,"National Highway 2, near Kohima, Nagaland, India",25.7902,94.1318,downpour,43.7,0.835,24.1
Manipur,Imphal,"2 km from Khongsang village(?), road between Tamenglong and Imphal or Nungba, Manipur",24.8961,93.4957,downpour,34.93,0.68,22.2
Sikkim,Jorethang,"Takdah, West Bengal",27.0377,88.3603,downpour,26.91,0.675,30.9
Assam,Karīmganj,"Satgarakul Village, Karimganj, Assam State",24.8669,92.3576,rain,34.33,0.86,27.0
Nagaland,Kohima,Phesema area at National Highway 39,25.7428,93.9136,rain,34.76,0.672,24.8
Mizoram,Thenzawl,Sailam village,23.3572,92.7878,continuous_rain,46.89,0.897,25.5
Nagaland,Kohima,"Kisima, Nagaland",25.61560252,94.11603493,downpour,44.13,0.862,31.4
Nagaland,Tuensang,"Shayoung Ward(?), Longleng, Nagaland",26.4333,94.8833,downpour,51.62,0.674,21.8
Assam,Dispur,Dakhingaon,26.1314,91.7548,rain,39.17,0.675,27.0
Nagaland,Mokokchūng,"North Point Colony, Akuluto, Nagaland, India",26.1699,94.4922,unknown,28.59,0.946,26.1
Assam,North Lakhimpur,North Lakhimpur ,27.2333,94.1167,downpour,46.4,0.762,27.3
Mizoram,Kolasib,"National Highway, 45 Aizwal (Mizoram)",24.1293,92.6921,rain,47.82,0.761,20.2
Manipur,Imphal,"Ikou-Gangpijang road, near: Ikou, Saikul, and Gangpijang; Imphal India",25.03561729,94.0144205,rain,41.84,0.894,30.5
Nagaland,Kohima,"Koide Government High School, Senapati, Manipur",25.3833,94.1884,downpour,48.13,0.934,31.2
Assam,North Guwāhāti,Kamakhya Temple,26.1666,91.7042,continuous_rain,39.81,0.946,26.8
Nagaland,Tuensang,"Kuthur – Huker Road Via Y Anner, Chessore, Nagaland",26.0977,94.7031,unknown,40.68,0.876,28.4
Manipur,Kohima,"Imphal-Dimapur road  in Tadubi, Senapati district, Manipur, India",25.48,94.1383,continuous_rain,37.83,0.763,31.1
Nagaland,Kohima,"National Highway 29 Near Phesama Village, Nagaland",25.6269,94.1139,rain,25.76,0.675,28.5
Assam,Lakhipur,Lakhipur,24.7979,92.9974,continuous_rain,28.24,0.883,21.8
Assam,Guwahati,Garchuk,26.1044,91.7082,rain,25.94,0.818,26.9
Manipur,Imphal,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",24.9336,93.8275,monsoon,44.09,0.777,27.3
Nagaland,Tuensang,"Yakshu, Nagaland",26.4205,94.9731,rain,34.43,0.922,25.1
Arunachal Pradesh,Naharlagun,Itanagar,27.1034,93.6885,downpour,40.26,0.683,28.8
Arunachal Pradesh,Bomdila,"East Kameng, Arunachal Pradesh",27.4888,93.0153,downpour,52.23,0.798,31.2
Manipur,Mawlaik,"Tuitung village, Khengjoi",23.899,94.1434,rain,32.48,0.653,31.1
Manipur,Imphal,"Imphal-Ukhrul sector of National Highway 102, Manipur, India",25.0118,94.3136,monsoon,37.31,0.791,25.4
Arunachal Pradesh,Pāsighāt,"East Siang, Arunachal Pradesh",28.1193,95.1645,rain,47.67,0.667,21.4
Manipur,Mahur,Tousem,25.1019,93.3729,continuous_rain,31.86,0.686,31.8
Sikkim,Gangtok,"Singtam-Mangan rd, Sikkim",27.3773,88.559,downpour,27.31,0.685,30.1
Nagaland,Tuensang,"Tuensang, Nagaland",26.2363,94.8133,monsoon,33.69,0.845,21.5
Nagaland,Kohima,Phesama,25.6278,94.1051,continuous_rain,29.84,0.874,31.1
Mizoram,Serchhīp,"Hunthar Veng, Mizoram",23.74182634,92.7141905,downpour,52.89,0.825,30.4
Tripura,Sabrūm,Sabroom,23.0137,91.7174,downpour,49.24,0.939,26.2
Sikkim,Gangtok,"Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim",27.3765,88.7628,downpour,44.0,0.762,27.1
Nagaland,Tuensang,"Noklak-Tuensang road, Nagaland",26.222,94.9152,downpour,51.14,0.736,24.8
Nagaland,Zunheboto,"Zunheboto, Nagaland",26.0137,94.5163,continuous_rain,49.11,0.911,20.7
Assam,Dispur,Narakasur,26.1407,91.7645,continuous_rain,30.6,0.717,24.0
Assam,Lakhipur,NH 37 at Awang Khul ,24.808,93.117,rain,51.78,0.939,29.6
Meghalaya,Tura,"Nakham Bazaar, Tura, Meghalaya",25.5114,90.215,downpour,41.18,0.654,20.1
Nagaland,Zunheboto,"Kiphire,  Nagaland",25.8877,94.7861,monsoon,49.22,0.941,24.0
Nagaland,Kohima,"Lower Chandmari area, PWD department, Kohima, Manipur",25.6623,94.1072,downpour,51.88,0.663,24.8
Assam,Palāsbāri,"Kamrup district, Assam, India",25.9611,91.3681,continuous_rain,34.54,0.917,26.4
Manipur,Imphal,"LangthAbal Khoupum, Imphal, Manipur",24.7339,93.9161,downpour,28.3,0.808,31.0
Assam,Guwahati,"Raj Bhavan Guwahati, Assam",26.1978,91.7665,downpour,31.84,0.948,24.2
Manipur,Yairipok,Phungyar road,24.819,94.3551,continuous_rain,37.81,0.672,24.2
Meghalaya,Shillong,"Ratacherra village along the NH-44 connecting to Barak Valley in Assam and Tripura, Meghalaya, Mizoramon",25.463,92.2121,continuous_rain,49.54,0.816,28.9
Manipur,Yairipok,between Maku village and Kamjong sub division,24.9111,94.4759,continuous_rain,50.82,0.941,25.4
Arunachal Pradesh,Pāsighāt, Arunachal Pradesh ,27.8458,95.2253,downpour,25.21,0.807,22.7
Tripura,Āmbāsa,"atharamura hills, Highway 44, Tripura",23.8986,91.7599,downpour,40.32,0.839,25.4
Nagaland,Kohima,"NH-39 near Khongnem(?) village, between Imphal and Dimapur, Manipur",25.5265,93.8673,downpour,37.52,0.859,21.7
Assam,Dispur,,26.1062,91.8717,continuous_rain,31.66,0.786,22.1
Nagaland,Kohima,"NH-39 at Tobio village(?), 7 km form Tadubi, Manipur",25.4788,94.1399,downpour,28.6,0.838,26.0
Meghalaya,Tura,South West Garo Hills,25.5006,90.0896,rain,35.13,0.825,25.0
Assam,North Guwāhāti,"Nursery, North Guwahati, Guwahati, Assam,",26.1662,91.7138,rain,53.29,0.92,31.0
Nagaland,Zunheboto,"Tizu, Nagaland",25.8376,94.5234,continuous_rain,34.7,0.664,24.3
Nagaland,Zunheboto,"Phizo, Nagaland",26.0481,94.4619,continuous_rain,40.56,0.734,27.0
Assam,Dispur,Batahghuli,26.1324,91.8342,rain,46.09,0.935,27.6
Sikkim,Rangpo,"Rolep, South Sikkim( Mapping to Rhenock 12 miles from Rolep)",27.1748,88.6458,rain,35.91,0.917,20.2
Nagaland,Zunheboto,"Government Middle School (GMS) Kiphire station “B”, Kiphire, Nagaland, India",25.8702,94.7844,downpour,54.15,0.787,28.0
Nagaland,Zunheboto,Zunheboto district,26.0214,94.5224,continuous_rain,53.87,0.836,22.1
Manipur,Bishnupur,Nungba,24.7459,93.4251,continuous_rain,32.55,0.733,31.5
Meghalaya,Karīmganj,National Highway 44,25.2568,92.3825,rain,39.92,0.706,21.8
Arunachal Pradesh,Hawai,Hawai,27.8835,96.9262,continuous_rain,34.03,0.789,25.0
Arunachal Pradesh,Hayuliang,"Hayuliang, Anjaw district,Arunachal Pradesh, India",28.0822,96.5316,downpour,33.55,0.756,21.0
Assam,Guwahati,Dhirenpara,26.1295,91.7056,rain,26.11,0.825,32.0
Sikkim,Namchi,"many locations around Namchi, Sikkim",27.167,88.3652,downpour,43.29,0.673,26.0
Nagaland,Kohima,"NH 39 at Kigwema(?), between Mao Gate and Kohima, Nagaland",25.5718,94.1211,downpour,40.08,0.942,27.1
Nagaland,Mokokchūng,"Zhekuto, Nagaland",26.1807,94.5497,monsoon,26.54,0.946,20.8
Sikkim,Gangtok,"17th Mile towards Tsomgo Lake, near Kyongsala, Sikkim ",27.3746,88.7648,rain,33.36,0.859,29.0
Assam,Guwahati,"Noonmati Nijarapar area of the city, Guwahati, Assam, India",26.1963,91.8074,monsoon,52.25,0.811,22.5
Manipur,Phek,"Phek, Manipur",25.6633,94.4703,downpour,32.19,0.743,30.8
Sikkim,Jorethang,West Bengal-Sikkim at highway Rambi,26.99195749,88.42280921,rain,29.35,0.894,22.5
Assam,Dispur,VIP Road,26.159,91.8178,rain,39.68,0.855,22.3
Assam,Barpeta,"Kamrup, and Sonitpur, Assam",26.3333,91.25,downpour,54.57,0.699,20.4
Nagaland,Mon,"Walo Ward, Mon Town, Wokha District, Nagaland",26.72,95.029,downpour,32.26,0.923,25.7
Nagaland,Kohima,"Maram, Manipur",25.4192,94.108,rain,45.16,0.897,26.8
Sikkim,Gangtok,14 Milestone Of J N Marg Near Kyangnosola (East Sikkim),27.3736,88.7323,rain,47.85,0.935,20.8
Assam,Mahur,between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),25.1718,93.123,downpour,32.13,0.868,29.3
Manipur,Phek,"Tusom, Manipur",25.426,94.6024,downpour,46.85,0.834,25.4
Nagaland,Zunheboto,"Zunheboto, Nagaland",26.0093,94.5238,monsoon,36.03,0.775,26.3
Arunachal Pradesh,Naharlagun,Arunachal Pradesh,27.1614,93.7525,downpour,43.97,0.93,25.3
Assam,North Guwāhāti,Maligaon,26.1868,91.6739,rain,44.01,0.91,24.8
Nagaland,Kohima,"Lasumi village in Phek district, Kohima",25.51614662,94.2341227,rain,41.07,0.664,26.7
Assam,Tezpur,NH 37,26.5836,93.0038,downpour,27.71,0.658,21.9
Manipur,Imphal,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",25.1333,93.9667,rain,50.06,0.763,22.2
Meghalaya,Shillong,National Highway No 44 at Sonarpur in Meghalaya,25.5576,91.8506,rain,34.62,0.893,30.3
Manipur,Imphal,Naga Gate along the Ukhrul-Imphal route,25.0634,94.3415,continuous_rain,30.6,0.946,31.4
Manipur,Imphal,"Tharon(?) and Langol Tarung villages, Thangmeiband constituency, Imphal, Manipur",24.837,93.9128,downpour,26.22,0.695,24.5
Sikkim,Namchi,Bardang near Singtam,27.1499,88.38,rain,42.73,0.828,23.2
Sikkim,Rangpo,"4th Mile on road between Rongli, Rhenock and Rangpo in East Sikkim.",27.1954,88.6115,rain,45.33,0.764,27.7
Arunachal Pradesh,Naharlagun,"Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)",27.1032,93.6884,downpour,25.5,0.941,24.9
Meghalaya,Nongstoin,"Borsorsa(?), West Khasi Hills, Meghalaya",25.4916,91.2698,downpour,40.36,0.903,20.3
Assam,North Lakhimpur,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",27.163,94.0,rain,31.79,0.901,21.9
Assam,Guwahati,"Bhangagarh, Assam",26.1619,91.7697,rain,44.36,0.791,28.6
Manipur,Imphal,"Lower Shajouba village near Tadubi along NH 39, Manipur ",25.0604,93.9877,rain,30.23,0.774,27.9
Assam,Karīmganj,"NH44, Malidhor area,  Baleswar",25.0951,92.3567,downpour,45.73,0.732,20.3
Arunachal Pradesh,Bomdila,Mebua (8 km from Seppa),27.2743,92.9064,downpour,36.6,0.667,22.7
Assam,Mankāchar,Hatsingimari,25.7238,89.9032,continuous_rain,53.1,0.909,22.8
Assam,Silchar,"A Cachar District village, near village of Srinager, Assam",24.9849,92.8411,mining,29.13,0.894,28.1
Manipur,Kohima,Willong-Yangkhullen stretch,25.5007,93.9854,continuous_rain,35.23,0.95,20.2
Mizoram,Darlawn,"Taithu village, Churanchandpur district, Mizoram, Manipur",24.3069,93.125,downpour,28.4,0.949,21.2
Nagaland,Kohima,between Phesama and Kuima in Nagaland,25.6263,94.1057,continuous_rain,52.74,0.817,29.6
Arunachal Pradesh,Along,Arunachal Pradesh,28.1737,94.7596,unknown,51.32,0.881,22.1
Arunachal Pradesh,Itānagar,Arunachal Pradesh/Itanagar,27.0869,93.6086,downpour,32.74,0.933,27.8
Mizoram,Darlawn,Phullen’s main road,23.8447,93.0514,continuous_rain,44.8,0.905,22.9
Meghalaya,Shillong,Mawbah under Mawprem area,25.5772,91.8666,continuous_rain,49.52,0.724,21.2
Meghalaya,Shillong,"NH44, Kuliang",25.5498,92.0757,downpour,41.66,0.785,22.9
Manipur,Imphal,"Imphal-Jiribam section of NH-37 , Manipur",24.8142,93.5444,downpour,40.89,0.689,28.7
Sikkim,Namchi,Tamabong Village In Sikkim State,27.3425,88.2426,downpour,32.26,0.936,30.3
Assam,Silchar,"road between Halfong and Redzol(?) or Silchar, Assam",25.0477,92.801,downpour,27.79,0.832,30.0
Nagaland,Kohima,"NH-39 near Kohima Municipality Council(KMC) dumping ground, between Zubza(Sechu) and Kohima, Nagaland",25.70223725,94.04619681,downpour,51.92,0.719,24.8
Nagaland,Mokokchūng,"lower Majakong Ward, Mokokchung, Nagaland, India",26.3185,94.5247,continuous_rain,52.01,0.852,28.0
Assam,Guwahati,Bamunimaidam,26.1844,91.7896,continuous_rain,43.99,0.835,22.5
Manipur,Kakching,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,24.2451,94.0691,rain,35.17,0.757,23.5
Nagaland,Kohima,Phesama village,25.6237,94.1136,continuous_rain,35.48,0.684,30.8
Sikkim,Namchi,"Namchi to Phongla, Namchi to Melli ,Namchi to Sumbuk",27.1675,88.3651,downpour,46.78,0.851,20.2
Manipur,Kakching,between Bongyang and Lokchao along the Imphal-Moreh highway,24.4072,94.0644,continuous_rain,51.91,0.806,21.0
Mizoram,Aizawl,"Aizawl-Lengpui rd 3km from Aizawl, Mizoram, Manipur",23.7527,92.694,downpour,51.61,0.882,22.5
Nagaland,Wokha,"Akuk village, Wokha District, Nagaland",26.138,94.25,downpour,48.4,0.806,20.3
Manipur,Mawlaik,near S Lamphei Lamkhai and Sehlon village,23.9939,94.0573,continuous_rain,44.26,0.906,22.2
Assam,Rangia,Amingaon,26.49349035,91.72137514,rain,27.52,0.816,27.0
Nagaland,Kohima,"Kohima, Nagaland",25.67,94.1066,downpour,29.85,0.818,25.1
Manipur,Imphal,Dimapur-Imphal highway (NH 39) near Manipur,24.9356,93.8443,rain,51.96,0.913,30.7
Manipur,Moirāng,"Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur",24.7543,93.5039,rain,43.19,0.771,29.8
Mizoram,Aizawl,"Muanna locality, Mizoram",23.7131,92.7362,rain,25.28,0.69,24.1
Nagaland,Tuensang,"Tobu, Nagaland",26.3897,94.9439,rain,28.04,0.659,23.1
Meghalaya,Karīmganj,Tongseng,25.1416,92.3807,rain,44.91,0.877,24.6
Mizoram,Aizawl,"Chhinga Veng, Aizawl",23.73478778,92.72124394,downpour,25.15,0.836,27.1
Assam,Guwahati,"Piyali Phukan Nagar, Guwahati, India",26.1961,91.7825,downpour,29.82,0.861,23.2
Meghalaya,Karīmganj,National Highway at Kuliang,25.0728,92.3636,rain,41.46,0.714,27.5
Sikkim,Rangpo,Rangpo,27.172,88.5292,downpour,45.76,0.691,24.9
Mizoram,Aizawl,"Aizawl, Mizoram, India",23.7313,92.7187,downpour,44.56,0.654,26.6
Manipur,Imphal,Tamei constituency in Tamenlong district,25.1604,93.6795,unknown,31.73,0.755,25.2
Sikkim,Gangtok,"Ranka, Sikkim and Louing road",27.337,88.609,downpour,46.37,0.827,23.5
Sikkim,Gangtok,"Nam Nang, Gangtok",27.322,88.6087,downpour,32.12,0.768,31.4
Arunachal Pradesh,Tezu,"Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ",28.4298,95.8776,downpour,34.76,0.781,29.2
Assam,Lāla,"Bilaipur, Hailakandi district, Assam, India",24.5204,92.7264,continuous_rain,47.39,0.921,21.7
Arunachal Pradesh,Rangāpāra,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India",27.0136,92.6351,downpour,44.49,0.754,30.4
Arunachal Pradesh,Itānagar,"Itanagar-Naharlagun, Arunachal Pradesh",27.0998,93.6287,rain,50.48,0.804,25.8
Assam,Guwahati,"Sarania Hills, North Guwahati, Guwahati, Assam,",26.1771,91.7599,rain,44.73,0.885,30.7
Arunachal Pradesh,Khonsa,"Khonsa, Arunachal Pradesh",26.9986,95.4993,downpour,42.05,0.769,29.6
Assam,Dimāpur,"Chumukedima, Dimapur",25.7713,93.8067,downpour,27.81,0.837,25.1
Arunachal Pradesh,Douyu,"Polo River At Polosang, Arunachal Pradesh",27.8837,93.0515,rain,36.03,0.909,20.3
Sikkim,Jorethang,200 meters from Teesta Bridge towards Siliguri,27.05374234,88.42572376,rain,32.96,0.935,23.2
Manipur,Imphal,"National Highway 53, Sinam Khul (near Kotlen; ~25 km from Imphal)",24.8063,93.9482,downpour,32.32,0.694,26.5
Mizoram,Lunglei,"Hual(Hu) village(?), Lunglei-Lawngtlai rd, Mizoram",22.7176,92.8416,downpour,54.19,0.928,27.6
Arunachal Pradesh,Bomdila,"Upper Subansiri District, Arunanchal Pradesh",27.7,92.8,downpour,36.79,0.798,23.1
Manipur,Kohima,Yangkhullen-Tamphung road till Nagaland border,25.5098,93.8794,continuous_rain,51.76,0.727,21.7
Manipur,Yairipok,"Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur",24.8628,94.4182,downpour,43.93,0.788,30.0
Assam,Mahur,"Highway 53 at Tupul, Tamenglong district",24.9786,93.5027,downpour,48.84,0.944,31.8
Assam,Hāflong,Shillong Road at Kuliang in the Jaintia Hills,25.2946,92.8339,rain,40.08,0.798,26.3
Assam,Guwahati,Lalunggaon near Gorchuk area,26.1226,91.7162,downpour,42.31,0.749,22.1
Meghalaya,Shillong,"Shillong, Meghalaya, India",25.583,91.893,downpour,39.78,0.84,23.3
Assam,Hailākāndi,Rongpur village under Bhairabhnagar panchayat in Karimganj district,24.6005,92.3814,downpour,30.86,0.722,20.2
